fecha_ingreso,anio,mes,estado,proveedor_top,nombre_comercial,tipo_servicio,problema_clasificado,motivo_reclamacion,estado_procesal,resuelta,monto_reclamado,monto_recuperado,porcentaje_recuperado,dias_resolucion
2024-12-17,2024,12,Ciudad de México,MOVISTAR,MOVISTAR,Telefonía Móvil,Facturación y Pagos,PRODUCTO O SERVICIO NO SOLICITADO O AUTORIZADO,DESISTIMIENTO,False,279.0,0.0,0.0,28.0
2024-12-17,2024,12,Ciudad de México,OTROS,SKY,TV,Contratos y Condiciones,NEGATIVA A LA RESCISION,DESISTIMIENTO,False,0.0,0.0,0.0,28.0
2024-12-17,2024,12,Ciudad de México,OTROS,SKY,TV,Contratos y Condiciones,NEGATIVA A LA RESCISION,CONCILIADA,True,0.0,0.0,0.0,38.0
2024-12-17,2024,12,Ciudad de México,TOTALPLAY,TOTALPLAY,TV,Facturación y Pagos,ERROR DE CALCULO,DESISTIMIENTO,False,1500.0,0.0,0.0,28.0
2024-12-17,2024,12,Ciudad de México,TELCEL,TELCEL,Telefonía Móvil,Facturación y Pagos,PRODUCTO O SERVICIO NO SOLICITADO O AUTORIZADO,DESISTIMIENTO,False,0.0,0.0,0.0,50.0
2024-12-17,2024,12,Ciudad de México,OTROS,SKY,TV,Facturación y Pagos,ERROR DE CALCULO,CONCILIADA,True,0.0,0.0,0.0,38.0
2024-12-17,2024,12,Ciudad de México,TELCEL,TELCEL,Telefonía Móvil,Facturación y Pagos,ERROR DE CALCULO,CONCILIADA,True,0.0,0.0,0.0,17.0
2024-12-17,2024,12,Ciudad de México,TELCEL,TELCEL,Telefonía Móvil,Facturación y Pagos,ERROR DE CALCULO,DESISTIMIENTO,False,0.0,0.0,0.0,34.0
2024-12-17,2024,12,Ciudad de México,TELCEL,TELCEL,Telefonía Móvil,Facturación y Pagos,ERROR DE CALCULO,CONCILIADA,True,0.0,1078.72,0.0,21.0
2024-12-17,2024,12,Ciudad de México,TOTALPLAY,TOTALPLAY,TV,"Entrega, Cambios y Garantías",NEGATIVA A LA ENTREGA,DESISTIMIENTO,False,0.0,0.0,0.0,35.0
2024-12-17,2024,12,Estado de México,OTROS,SKY,TV,Contratos y Condiciones,NEGATIVA A LA RESCISION,DESISTIMIENTO,False,0.0,0.0,0.0,42.0
2024-12-17,2024,12,Tamaulipas,MOVISTAR,MOVISTAR,Telefonía Móvil,Facturación y Pagos,NEGATIVA A CORREGIR ERRORES,CONCILIADA,True,646.6,646.6,1.0,28.0
2024-12-17,2024,12,San Luis Potosí,TELMEX,TELMEX,Telefonía Fija,"Entrega, Cambios y Garantías",NEGATIVA A LA ENTREGA,CONCILIADA,True,1151.0,1151.0,1.0,59.0
